gangtie_date,gangtie_gangcai
2016/7/20,314.76
2016/7/10,319.02
2016/6/30,316.47
2016/6/20,306.38
2016/6/10,322.84
2016/5/31,331.72
2016/5/20,319.98
2016/5/10,319.75
2016/4/30,325.41
2016/4/20,314.02
2016/4/10,299.98
2016/3/31,296.27
2016/3/20,291.72
2016/3/10,274.07
2016/2/29,305.59
2016/2/20,280.71
2016/2/10,276.07
2016/1/31,292.32
2016/1/20,286.82
2016/1/10,293.76
2015/12/31,297.58
2015/12/20,301.13
2015/12/10,303.83
2015/11/30,296.14
2015/11/20,292.85
2015/11/10,301.18
2015/10/31,289.06
2015/10/20,292.89
2015/10/10,288.5
2015/9/30,292.79
2015/9/20,292.79
2015/9/10,284.1
2015/8/31,303.86
2015/8/20,301.98
2015/8/10,298.18
2015/7/31,307.93
2015/7/20,299.52
2015/7/10,313.58
2015/6/30,320.53
2015/6/20,318.28
2015/6/10,300.24
2015/5/31,309.71
2015/5/20,314.32
2015/5/10,299.75
2015/4/30,334.6
2015/4/20,314.32
2015/4/10,308.43
2015/3/31,290.22
2015/3/20,287.09
2015/3/10,-
2015/2/28,-
2015/2/20,-
2015/2/10,-
2015/1/31,-
2015/1/20,-
2015/1/10,-
2014/12/31,-
2014/12/20,-
2014/12/10,-
2014/11/30,-
2014/11/20,-
2014/11/10,-
2014/10/31,-
2014/10/20,-
2014/10/10,-
2014/9/30,-
2014/9/20,-
2014/9/10,-
2014/8/31,-
2014/8/20,-
2014/8/10,-
2014/7/31,-
2014/7/20,-
2014/7/10,-
2014/6/30,-
2014/6/20,-
2014/6/10,-
2014/5/31,-
2014/5/20,-
2014/5/10,-
2014/4/30,-
2014/4/20,311.63
2014/4/10,274.69
2014/3/31,277.62
2014/3/20,273.44
2014/3/10,268.13
2014/2/28,308.99
2014/2/20,292.01
2014/2/10,289.85
2014/1/31,292.47
2014/1/20,293.36
2014/1/10,293.61
2013/12/31,303.71
2013/12/20,296.75
2013/12/10,297.96
2013/11/30,301.36
2013/11/20,301.07
2013/11/10,298.61
2013/10/31,307.03
2013/10/20,301.97
2013/10/10,291.52
2013/9/30,304.02
2013/9/20,295.3
2013/9/10,290.61
2013/8/31,303.59
2013/8/20,298.99
2013/8/10,287.66
2013/7/31,298.57
2013/7/20,301.46
2013/7/10,294.03
2013/6/30,307.05
2013/6/20,293.71
2013/6/10,289.4
2013/5/31,296.21
2013/5/20,295.88
2013/5/10,292.51
2013/4/30,293.71
2013/4/20,288.51
2013/4/10,286.14
2013/3/31,275.37
2013/3/20,269.78
2013/3/10,266.42
2013/2/28,291.73
2013/2/20,276.97
2013/2/10,271.74
2013/1/31,271.33
2013/1/20,270.78
2013/1/10,271.29
2012/12/31,277.26
2012/12/20,274.29
2012/12/10,270.34
2012/11/30,277.94
2012/11/20,268.93
2012/11/10,259.68
2012/10/31,271.6
2012/10/20,274.93
2012/10/10,258.78
2012/9/30,257.28
2012/9/20,256.66
2012/9/10,253.28
2012/8/31,260.97
2012/8/20,259.62
2012/8/10,256.34
2012/7/31,283.64
2012/7/20,280.44
2012/7/10,263.21
2012/6/30,269.05
2012/6/20,264.41
2012/6/10,262.37
2012/5/31,266.43
2012/5/20,270.51
2012/5/10,267.87
2012/4/30,278.5
2012/4/20,271.32
2012/4/10,269.75
2012/3/31,251.03
2012/3/20,247.53
2012/3/10,243.26
2012/2/29,237.5
2012/2/20,233.86
2012/2/10,230.32
2012/1/31,226.31
2012/1/20,228.46
2012/1/10,228.62
2011/12/31,-
2011/12/20,-
2011/12/10,-
2011/11/30,-
2011/11/20,-
2011/11/10,-
2011/10/31,-
2011/10/20,-
2011/10/10,-
2011/9/30,-
2011/9/20,-
2011/9/10,-
2011/8/31,260.91
2011/8/20,245.84
2011/8/10,242.15
2011/7/31,-
2011/7/20,255.19
2011/7/10,248.09
2011/6/30,253.86
2011/6/20,248.48
2011/6/10,-
2011/5/31,247.32
2011/5/20,245.42
2011/5/10,242.81
2011/4/30,251.96
2011/4/20,245.85
2011/4/10,225.42
2011/3/31,228.65
2011/3/20,224.66
2011/3/10,216.33
2011/2/28,253.59
2011/2/20,236.45
2011/2/10,234.58
2011/1/31,234.39
2011/1/20,218.21
2011/1/10,218.82
2010/12/31,-
2010/12/20,-
2010/12/10,213.58
2010/11/30,-
2010/11/20,-
2010/11/10,209.41
2010/10/31,210.89
2010/10/20,211.44
2010/10/10,-
2010/9/30,228.64
2010/9/20,-
2010/9/10,220.14
2010/8/31,-
2010/8/20,222.41
2010/8/10,-
2010/7/31,222.76
2010/7/20,220.35
2010/7/10,209.66
2010/6/30,224.26
2010/6/20,226.14
2010/6/10,-
2010/5/31,225.51
2010/5/20,224.93
2010/5/10,-
2010/4/30,-
2010/4/20,220.18
2010/4/10,203.19
2010/3/31,214.42
2010/3/20,196.37
2010/3/10,-
2010/2/28,-
2010/2/20,206.01
2010/2/10,200.87
2010/1/31,-
2010/1/20,196.37
2010/1/10,-
