jkk_date,jkk_jizhunjia,jkk_chebanjia
2016/7/25,440,435-445
2016/7/25,545,540-550
2016/7/28,455,450-460
2016/7/28,455,450-460
2016/7/26,444,439-449
2016/7/25,430,425-435
2016/7/28,560,555-565
2016/7/28,565,560-570
2016/7/27,450,445-455
2016/7/26,545,540-550
2016/7/25,535,530-540
2016/8/1,460,455-465
2016/7/28,445,440-450
2016/7/28,445,440-450
2016/7/27,550,545-555
2016/7/29,455,450-460
2016/7/19,435,430-440
2016/7/26,430,425-435
2016/7/25,420,415-425
2016/8/1,570,565-575
2016/7/28,550,545-555
2016/7/28,435,430-440
2016/7/28,555,550-560
2016/7/27,440,435-445
2016/7/29,565,560-570
2016/7/19,550,545-555
2016/7/1,425,420-430
2016/7/26,535,530-540
2016/7/25,420,415-425
2016/7/25,360,355-365
2016/8/1,450,445-455
2016/7/28,430,425-435
2016/7/28,385,380-390
2016/7/28,435,430-440
2016/7/28,430,425-435
2016/7/27,545,540-550
2016/7/27,430,425-435
2016/7/29,445,440-450
2016/7/29,555,550-560
2016/7/4,430,425-435
2016/7/5,430,425-435
2016/7/19,425,420-430
2016/7/19,540,535-545
2016/7/20,425,420-430
2016/7/1,540,535-545
2016/7/1,415,410-420
2016/7/26,420,415-425
2016/7/26,420,415-425
2016/7/25,355,350-360
2016/8/1,560,555-565
2016/7/28,370,365-375
2016/7/28,375,370-380
2016/7/28,383,378-388
2016/7/28,370,365-375
2016/7/27,430,425-435
2016/7/27,380,375-385
2016/7/29,435,430-440
2016/7/29,430,425-435
2016/7/4,540,535-545
2016/7/4,420,415-425
2016/7/5,540,535-545
2016/7/5,420,415-425
2016/7/19,415,410-420
2016/7/20,540,535-545
2016/7/20,415,410-420
2016/7/6,427,422-432
2016/7/1,525,520-530
2016/7/1,400,395-405
2016/7/7,440,435-445
2016/7/26,370,365-375
2016/7/26,360,355-365
2016/7/25,360,355-365
2016/7/25,340,335-345
2016/8/1,440,435-445
2016/8/1,435,430-440
