coal_ljm_date,coal_ljm_jiage,coal_ljm_shui
2016/7/27,565,含税
2016/7/27,595,含税
2016/7/27,645,含税
2016/7/26,565,含税
2016/7/27,615,含税
2016/7/25,645,含税
2016/7/27,570,含税
2016/7/27,635,含税
2016/7/25,570,含税
2016/7/25,565,含税
2016/7/25,620,含税
2016/7/26,595,含税
2016/7/27,620,含税
2016/7/26,645,含税
2016/7/27,620,含税
2016/7/25,600,含税
2016/7/26,615,含税
2016/7/27,600,含税
2016/7/26,570,含税
2016/7/26,620,含税
2016/7/27,660,含税
2016/7/25,730,含税
2016/7/26,635,含税
2016/7/22,645,含税
2016/7/12,620,含税
2016/7/13,595,含税
2016/7/13,645,含税
2016/7/22,620,含税
2016/7/27,730,含税
2016/7/26,600,含税
2016/7/25,590,含税
2016/7/26,620,含税
2016/7/22,570,含税
2016/7/12,600,含税
2016/7/13,615,含税
2016/7/13,570,含税
2016/7/22,600,含税
2016/7/13,565,含税
2016/7/27,590,含税
2016/7/25,595,含税
2016/7/26,730,含税
2016/7/26,660,含税
2016/7/12,730,含税
2016/7/13,635,含税
2016/7/22,730,含税
2016/7/25,615,含税
2016/7/14,565,含税
2016/7/26,590,含税
2016/7/12,590,含税
2016/7/13,620,含税
2016/7/22,590,含税
2016/7/13,620,含税
2016/7/14,645,含税
2016/7/25,635,含税
2016/7/13,660,含税
2016/7/13,600,含税
2016/7/15,565,含税
2016/7/14,570,含税
2016/7/25,620,含税
2016/7/22,595,含税
2016/7/15,620,含税
2016/7/18,645,含税
2016/7/13,730,含税
2016/7/14,595,含税
2016/7/25,660,含税
2016/7/22,615,含税
2016/7/15,600,含税
2016/7/18,570,含税
2016/7/13,590,含税
2016/7/14,615,含税
2016/7/22,635,含税
2016/7/18,620,含税
2016/7/19,620,含税
2016/7/18,595,含税
2016/7/15,730,含税
2016/7/15,645,含税
2016/7/18,565,含税
2016/7/14,635,含税
2016/7/22,620,含税
2016/7/18,600,含税
2016/7/19,600,含税
2016/7/18,615,含税
2016/7/15,590,含税
2016/7/15,570,含税
2016/7/19,595,含税
2016/7/14,620,含税
2016/7/22,660,含税
2016/7/18,730,含税
2016/7/19,730,含税
2016/7/20,645,含税
2016/7/19,645,含税
2016/7/18,635,含税
2016/7/20,595,含税
2016/7/19,615,含税
2016/7/14,660,含税
2016/7/18,590,含税
2016/7/19,590,含税
2016/7/20,570,含税
2016/7/19,570,含税
2016/7/18,620,含税
2016/7/20,565,含税
2016/7/20,615,含税
2016/7/14,620,含税
2016/7/19,635,含税
2016/7/21,645,含税
2016/7/21,595,含税
2016/7/18,660,含税
2016/7/20,635,含税
2016/7/14,600,含税
2016/7/19,620,含税
2016/7/21,570,含税
2016/7/22,565,含税
2016/7/21,615,含税
2016/7/21,565,含税
2016/7/20,620,含税
2016/7/14,730,含税
2016/7/19,660,含税
2016/7/21,620,含税
2016/7/21,635,含税
2016/7/20,660,含税
2016/7/14,590,含税
2016/7/21,600,含税
2016/7/21,620,含税
2016/7/21,730,含税
2016/7/21,660,含税
2016/7/21,590,含税
2016/7/19,565,含税
2016/7/20,620,含税
2016/7/20,600,含税
2016/7/20,730,含税
2016/7/15,595,含税
2016/7/20,590,含税
2016/7/15,615,含税
2016/7/15,635,含税
2016/7/15,620,含税
2016/7/15,660,含税
2016/7/12,645,含税
2016/7/11,615,含税
2016/7/12,570,含税
2016/7/11,565,含税
2016/7/11,635,含税
2016/7/8,620,含税
2016/7/7,585,含税
2016/7/12,595,含税
2016/7/11,655,含税
2016/7/8,600,含税
2016/7/11,665,含税
2016/7/12,615,含税
2016/7/11,640,含税
2016/7/6,585,含税
2016/7/8,665,含税
2016/7/8,730,含税
2016/7/12,565,含税
2016/7/11,590,含税
2016/7/12,635,含税
2016/7/11,680,含税
2016/7/8,590,含税
2016/7/8,590,含税
2016/7/12,620,含税
2016/7/5,665,含税
2016/7/7,665,含税
2016/7/7,620,含税
2016/7/6,620,含税
2016/7/8,615,含税
2016/7/12,660,含税
2016/7/5,590,含税
2016/7/7,590,含税
2016/7/7,600,含税
2016/7/6,600,含税
2016/7/8,635,含税
2016/7/7,730,含税
2016/7/7,615,含税
2016/7/6,730,含税
2016/7/8,655,含税
2016/7/7,590,含税
2016/7/7,635,含税
2016/7/5,615,含税
2016/7/6,590,含税
2016/7/4,665,含税
2016/7/8,640,含税
2016/7/7,655,含税
2016/7/5,635,含税
2016/7/4,590,含税
2016/7/8,680,含税
2016/7/1,585,含税
2016/7/7,640,含税
2016/7/5,655,含税
2016/7/7,680,含税
2016/7/4,615,含税
2016/7/5,640,含税
2016/7/6,665,含税
2016/7/4,635,含税
2016/7/5,680,含税
2016/7/6,590,含税
2016/7/4,655,含税
2016/6/30,620,含税
2016/7/4,640,含税
2016/6/30,600,含税
2016/6/30,585,含税
2016/7/4,680,含税
2016/6/30,615,含税
2016/7/1,620,含税
2016/6/30,730,含税
2016/6/30,635,含税
2016/7/1,600,含税
2016/6/30,590,含税
2016/7/1,615,含税
2016/6/30,655,含税
2016/7/5,620,含税
2016/7/1,730,含税
2016/7/1,635,含税
2016/6/28,665,含税
2016/6/30,640,含税
2016/7/5,600,含税
2016/6/28,620,含税
2016/7/5,585,含税
2016/7/1,590,含税
2016/7/1,655,含税
2016/6/28,590,含税
2016/6/30,680,含税
2016/7/5,730,含税
2016/6/28,600,含税
2016/7/1,640,含税
2016/6/27,620,含税
2016/6/27,585,含税
2016/6/28,615,含税
2016/7/5,590,含税
2016/6/28,730,含税
2016/7/1,680,含税
2016/6/27,600,含税
2016/6/28,635,含税
2016/7/1,665,含税
2016/6/28,590,含税
2016/6/27,730,含税
2016/6/29,585,含税
2016/6/29,615,含税
2016/6/28,655,含税
2016/7/1,590,含税
2016/6/27,590,含税
2016/6/29,635,含税
2016/6/30,665,含税
2016/6/28,640,含税
2016/6/29,620,含税
2016/7/4,585,含税
2016/7/4,620,含税
2016/6/29,655,含税
2016/6/30,590,含税
2016/6/28,680,含税
2016/6/29,600,含税
2016/7/4,600,含税
2016/7/6,615,含税
2016/6/29,640,含税
2016/6/29,730,含税
2016/7/4,730,含税
2016/7/6,635,含税
2016/6/29,680,含税
2016/6/29,590,含税
2016/7/4,590,含税
2016/7/6,655,含税
2016/7/6,640,含税
2016/7/6,680,含税
2016/6/28,585,含税
2016/7/11,620,含税
2016/7/11,600,含税
2016/7/11,730,含税
2016/7/11,590,含税
2016/6/29,665,含税
2016/6/29,590,含税
2016/7/8,585,含税
2016/6/27,665,含税
2016/6/24,620,含税
2016/6/24,585,含税
2016/6/24,615,含税
2016/6/27,590,含税
2016/6/24,600,含税
2016/6/22,620,含税
2016/6/24,635,含税
2016/6/23,585,含税
2016/6/24,730,含税
2016/6/22,600,含税
2016/6/24,655,含税
2016/6/24,590,含税
2016/6/22,730,含税
2016/6/24,640,含税
2016/6/22,585,含税
2016/6/22,590,含税
2016/6/24,680,含税
2016/6/21,665,含税
2016/6/23,620,含税
2016/6/24,665,含税
2016/6/21,590,含税
2016/6/23,600,含税
2016/6/24,590,含税
2016/6/16,585,含税
2016/6/23,730,含税
2016/6/23,590,含税
2016/6/21,615,含税
2016/6/16,620,含税
2016/6/17,665,含税
2016/6/21,635,含税
2016/6/17,615,含税
2016/6/16,600,含税
2016/6/22,665,含税
2016/6/17,590,含税
2016/6/22,615,含税
2016/6/21,655,含税
2016/6/17,635,含税
2016/6/15,620,含税
2016/6/16,730,含税
2016/6/22,590,含税
2016/6/17,585,含税
2016/6/22,635,含税
2016/6/21,640,含税
2016/6/17,655,含税
2016/6/15,600,含税
