meiyuan_date,meiyuan_zhishu
2016/8/2,95.42
2016/8/1,95.68
2016/7/29,95.49
2016/7/28,96.72
2016/7/27,97.04
2016/7/26,97.17
2016/7/25,97.33
2016/7/22,97.52
2016/7/21,97.05
2016/7/20,97.26
2016/7/19,97.11
2016/7/18,96.59
2016/7/15,96.56
2016/7/14,96.1
2016/7/13,96.21
2016/7/12,96.49
2016/7/11,96.59
2016/7/8,96.33
2016/7/7,96.38
2016/7/6,96.13
2016/7/5,96.26
2016/7/4,95.71
2016/7/1,95.71
2016/6/30,96.2
2016/6/29,95.81
2016/6/28,96.33
2016/6/27,96.7
2016/6/24,95.57
2016/6/23,93.53
2016/6/22,93.76
2016/6/21,94.06
2016/6/20,93.68
2016/6/17,94.34
2016/6/16,94.71
2016/6/15,94.68
2016/6/14,95.04
2016/6/13,94.4
2016/6/10,94.56
2016/6/9,93.95
2016/6/8,93.58
2016/6/7,93.83
2016/6/6,93.89
2016/6/3,94.03
2016/6/2,95.57
2016/6/1,95.46
2016/5/31,95.88
2016/5/30,95.5
2016/5/27,95.5
2016/5/26,95.16
2016/5/25,95.34
2016/5/24,95.58
2016/5/23,95.22
2016/5/20,95.34
2016/5/19,95.29
2016/5/18,95.06
2016/5/17,94.53
2016/5/16,94.55
2016/5/13,94.59
2016/5/12,94.13
2016/5/11,93.79
2016/5/10,94.27
2016/5/9,94.11
2016/5/6,93.88
2016/5/5,93.78
2016/5/4,93.19
2016/5/3,92.93
2016/5/2,92.62
2016/4/29,93.05
2016/4/28,93.73
2016/4/27,94.37
2016/4/26,94.54
2016/4/25,94.8
2016/4/22,95.08
2016/4/21,94.57
2016/4/20,94.47
2016/4/19,93.95
2016/4/18,94.46
2016/4/15,94.69
2016/4/14,94.91
2016/4/13,94.76
2016/4/12,93.94
2016/4/11,93.94
2016/4/8,94.25
2016/4/7,94.5
2016/4/6,94.44
2016/4/5,94.64
2016/4/4,94.52
2016/4/1,94.62
2016/3/31,94.58
2016/3/30,94.82
2016/3/29,95.15
2016/3/28,95.94
2016/3/24,96.17
2016/3/23,96.06
2016/3/22,95.64
2016/3/21,95.3
2016/3/20,95.08
2016/3/18,95.12
2016/3/17,94.8
2016/3/16,95.92
2016/3/15,96.67
2016/3/14,96.52
2016/3/13,96.21
2016/3/11,96.17
2016/3/10,96.06
2016/3/9,97.16
2016/3/8,97.21
2016/3/7,97.08
2016/3/6,97.36
2016/3/4,97.34
2016/3/3,97.6
