tkszs_date,tkszs_gck
2013/6/3,134.6
2013/6/4,133.5
2013/6/5,133.9
2013/6/6,133.9
2013/6/7,133.9
2013/6/8,133.9
2013/6/9,133.9
2013/6/13,133.9
2013/6/14,133.9
2013/6/17,133.9
2013/6/18,134.4
2013/6/19,134.4
2013/6/20,134.7
2013/6/21,135.1
2013/6/24,135.6
2013/6/25,134.9
2013/6/26,134
2013/6/27,134
2013/6/28,134
2013/7/1,134
2013/7/2,134
2013/7/3,135.1
2013/7/4,135.9
2013/7/5,136.8
2013/7/8,136.9
2013/7/9,137.4
2013/7/10,137.4
2013/7/11,137.4
2013/7/12,137.4
2013/7/15,138.2
2013/7/16,138.9
2013/7/17,138.9
2013/7/18,139.4
2013/7/19,139.8
2013/7/22,139.9
2013/7/23,140.1
2013/7/24,140.5
2013/7/25,140.5
2013/7/26,140.5
2013/7/29,140.5
2013/7/30,140.5
2013/7/31,139.4
2013/8/1,139.4
2013/8/2,139.4
2013/8/5,139.4
2013/8/6,139.4
2013/8/7,139.4
2013/8/8,139.5
2013/8/9,141.4
2013/8/12,141.4
2013/8/13,144
2013/8/14,144.2
2013/8/15,144.5
2013/8/16,144.5
2013/8/19,144.6
2013/8/20,144.6
2013/8/21,144.6
2013/8/22,144.6
2013/8/23,144.8
2013/8/26,143.9
2013/8/27,143.9
2013/8/28,143.9
2013/8/29,143.9
2013/8/30,143.9
2013/9/2,143.9
2013/9/3,143.9
2013/9/4,143.9
2013/9/5,143.9
2013/9/6,143.9
2013/9/9,143.9
2013/9/10,143.9
2013/9/11,143.9
2013/9/12,143.9
2013/9/13,143.9
2013/9/16,142.2
2013/9/17,142.1
2013/9/18,141.5
2013/9/22,142
2013/9/23,142
2013/9/24,142
2013/9/25,142
2013/9/26,142
2013/9/27,142
2013/9/29,142
2013/9/30,142
2013/10/8,142.4
2013/10/9,142.4
2013/10/10,143.7
2013/10/11,143.7
2013/10/12,143.7
2013/10/14,143.7
2013/10/15,143.7
2013/10/16,143.7
2013/10/17,143.7
2013/10/18,144
2013/10/21,144
2013/10/22,144
2013/10/23,143.6
2013/10/24,143.6
2013/10/25,143.6
2013/10/28,143.6
2013/10/29,143.6
2013/10/30,143.6
2013/10/31,143.6
2013/11/1,143.7
2013/11/4,143.7
2013/11/5,143.6
2013/11/6,144.5
2013/11/7,144.7
2013/11/8,144.7
2013/11/11,144.7
2013/11/12,144.7
2013/11/13,144.7
2013/11/14,144.7
2013/11/15,144.7
2013/11/18,145
2013/11/19,145
2013/11/20,145
2013/11/21,146.8
2013/11/22,146.8
2013/11/25,146.8
2013/11/26,146.8
2013/11/27,146.8
2013/11/28,146.8
2013/11/29,146.8
2013/12/2,146.8
2013/12/3,146.8
2013/12/4,146.8
2013/12/5,146.8
2013/12/6,147.6
2013/12/9,147.7
2013/12/10,147.7
2013/12/11,147.7
2013/12/12,148
2013/12/13,148
2013/12/16,147.9
2013/12/17,147.9
2013/12/18,147.9
2013/12/19,147.9
2013/12/20,147.7
2013/12/23,147.7
2013/12/24,146.4
2013/12/25,146.4
2013/12/26,146.4
2013/12/27,146.4
2013/12/30,146
2013/12/31,145.4
2014/1/2,145.4
2014/1/3,145.4
2014/1/6,145.3
2014/1/7,145.1
2014/1/8,145.1
2014/1/9,145.1
2014/1/10,145.1
2014/1/13,145.1
2014/1/14,145.1
2014/1/15,144.8
2014/1/16,144.8
2014/1/17,143.7
2014/1/20,142.8
2014/1/21,142.6
2014/1/22,142.6
2014/1/23,142.6
2014/1/24,142.6
2014/1/26,142.6
2014/1/27,142.6
2014/1/28,142.6
2014/1/29,142.6
2014/1/30,142.6
2014/2/7,142.6
2014/2/8,142.6
2014/2/10,142.3
2014/2/11,141.8
2014/2/12,141.8
2014/2/13,141.8
2014/2/14,141.8
2014/2/17,141.8
2014/2/18,141.8
2014/2/19,141.8
2014/2/20,141.8
2014/2/21,141.7
2014/2/24,141.7
2014/2/25,141.7
2014/2/26,141.7
2014/2/27,141.4
2014/2/28,141.4
2014/3/3,141.4
2014/3/4,141.4
2014/3/5,141.2
2014/3/6,141.1
2014/3/7,141.1
2014/3/10,140.2
2014/3/11,139.1
2014/3/12,138.4
2014/3/13,136.6
2014/3/14,135.6
2014/3/17,135.6
2014/3/18,135.4
2014/3/19,135.4
2014/3/20,134.5
2014/3/21,134.5
2014/3/24,132.7
2014/3/25,131.8
2014/3/26,131.7
2014/3/27,131.7
2014/3/28,131.6
2014/3/31,131.6
2014/4/1,131.6
2014/4/2,131.3
2014/4/3,131.3
