,PB_price,tegang_zonghe_zhishu,haiyun_BDI,meiyuan_zhishu,psjgzs,pugang_zhishu,tkszs,WTI,CRU,fgzs,tkszs_l1,tkszs_l5,tkszs_l10,tkszs_l20,tkszs_l30,tkszs_l40,tkszs_l50,tkszs_l60,PB_price_f1,PB_price_f10,PB_price_f20,PB_price_f30,PB_price_f40,PB_price_f50,PB_price_f60,tegang_zonghe_zhishu_f1,tegang_zonghe_zhishu_f10,tegang_zonghe_zhishu_f20,tegang_zonghe_zhishu_f30,tegang_zonghe_zhishu_f40,tegang_zonghe_zhishu_f50,tegang_zonghe_zhishu_f60,haiyun_BDI_f1,haiyun_BDI_f10,haiyun_BDI_f20,haiyun_BDI_f30,haiyun_BDI_f40,haiyun_BDI_f50,haiyun_BDI_f60,meiyuan_zhishu_f1,meiyuan_zhishu_f10,meiyuan_zhishu_f20,meiyuan_zhishu_f30,meiyuan_zhishu_f40,meiyuan_zhishu_f50,meiyuan_zhishu_f60,psjgzs_f1,psjgzs_f10,psjgzs_f20,psjgzs_f30,psjgzs_f40,psjgzs_f50,psjgzs_f60,pugang_zhishu_f1,pugang_zhishu_f10,pugang_zhishu_f20,pugang_zhishu_f30,pugang_zhishu_f40,pugang_zhishu_f50,pugang_zhishu_f60,tkszs_f1,tkszs_f10,tkszs_f20,tkszs_f30,tkszs_f40,tkszs_f50,tkszs_f60,WTI_f1,WTI_f10,WTI_f20,WTI_f30,WTI_f40,WTI_f50,WTI_f60,CRU_f1,CRU_f10,CRU_f20,CRU_f30,CRU_f40,CRU_f50,CRU_f60,fgzs_f1,fgzs_f10,fgzs_f20,fgzs_f30,fgzs_f40,fgzs_f50,fgzs_f60
PB_price,1.0,0.9150068534916637,0.8081374095951052,-0.892047147062085,0.9794595500796219,0.9433452731347551,0.9820595002055578,0.8562175281687436,0.9053596466620905,0.9489810735988903,0.9819046021824422,0.9797624424518592,0.9760807821726537,0.9674519676243782,0.9586935617329092,0.9508248244809545,0.9421804379784937,0.9323465988672816,0.9997499381258687,0.9938125890126409,0.9840817059459848,0.9745186805330525,0.9654494979637827,0.9569282620707068,0.9484157741245616,0.9141627028118386,0.9069022045444123,0.8991463609758844,0.8933319672711217,0.8876858632403024,0.8823943191462823,0.8760708725051073,0.8085908055225436,0.8094572925756559,0.8106939831437213,0.8089528023880758,0.8016852645732692,0.7911854147969579,0.7757025147677239,-0.8918323519199588,-0.8884052582651261,-0.8849901903602616,-0.8796812223884137,-0.8708625732372793,-0.8602537546564802,-0.850109204937905,0.9801309656088399,0.9791731706720571,0.9742376744419793,0.9681694266335672,0.9624916786530939,0.9579732365425984,0.9532788209927152,0.9431102105572583,0.9395602450134595,0.9352940720324026,0.9317915991368898,0.928090154469765,0.9249258575912509,0.9209671056369573,0.9819021889924504,0.9786824810185643,0.9730942532964634,0.9684051398153876,0.9647928110425589,0.9620362316782427,0.9595942301822343,0.8560151087527325,0.8528559666583405,0.8486633905581978,0.8453342191636326,0.844687153842412,0.8452446990550812,0.8468753041972168,0.9045367804302035,0.895964260284704,0.8855351825128598,0.8769684963590375,0.8680955498084086,0.8585891381851997,0.8479423026101738,0.9485367575030587,0.9445229534556594,0.9386836899785727,0.9325972188246947,0.9272254546932686,0.9221925473093566,0.9161032929343065
tegang_zonghe_zhishu,0.9150068534916637,1.0,0.6882683243136961,-0.9342945135607703,0.8950182516279672,0.9862477143179398,0.8906685783453158,0.9354451490960091,0.9841283115804568,0.9914553442421359,0.889826939159776,0.8863135417825061,0.8822289735475863,0.873923121946876,0.8637148794182965,0.8524352565092005,0.8415480406657242,0.8308646650465061,0.9159234875965439,0.9223513981620078,0.9289449910811295,0.9331715337140724,0.937408742783513,0.9410367620893728,0.9439631481963713,0.9999111971331766,0.9981164526825733,0.9951017979316354,0.9920400807121438,0.9887379564423119,0.9854118985305645,0.981746412738103,0.6885411815482032,0.6876486387010009,0.6860249372179358,0.6816487166134854,0.6779088082135387,0.6759212653667639,0.6735386748777251,-0.9348167446399503,-0.938309142711614,-0.941235916289762,-0.9442899196239972,-0.9463528825836577,-0.9476265398146877,-0.9476705206585591,0.8959414332947782,0.9025436346470851,0.9091204621185833,0.9139676612387272,0.9191955059641215,0.9238813847892431,0.9282207091743319,0.9869328700313456,0.9902922505030949,0.9925028892139492,0.9918022475410156,0.9905461242462772,0.9889384782611111,0.9868899552093454,0.8914308167402494,0.8971849884102471,0.9036261749749588,0.9082810614994246,0.9132815840228683,0.9181245288314427,0.9229137092111274,0.9354314144033993,0.934669044849407,0.9331953135455695,0.9315673176632076,0.9307585224447015,0.9309252473815293,0.9313679400352277,0.9839336517032228,0.9809414283985416,0.9760035291813658,0.9711514252576213,0.9665159531046278,0.9615600864768787,0.9556419734685054,0.9915441444588886,0.9919104685241504,0.991289305798617,0.9902109816845971,0.989057034841036,0.9878016266991041,0.9861387965646965
haiyun_BDI,0.8081374095951052,0.6882683243136961,1.0,-0.7142966838344892,0.8275628240844897,0.7300254282581536,0.8363682018388758,0.7012241100605278,0.6958236247258008,0.7424030421658298,0.8362278731472937,0.8362849590019105,0.8374502869109391,0.8397173102105113,0.8386035935423228,0.832512149117582,0.8235834441222927,0.812539802207913,0.8077783289337686,0.8062618043735337,0.8076782898551523,0.8035130985510054,0.7944083558504977,0.7789192058419603,0.7588197246231696,0.6879267566983338,0.6845772205277232,0.6816831206713457,0.6792993078574638,0.6772978991813359,0.6757546559268515,0.674496205868967,0.9986107098407877,0.9457455259577782,0.8481085340372216,0.7401188212064607,0.6587972306883977,0.630871796445794,0.6334142530538674,-0.7140199608952186,-0.7111291024666877,-0.7019951966597543,-0.6921558174135966,-0.6868226972573613,-0.6794750783395427,-0.6690163825306696,0.8277862923802273,0.8290426628763194,0.8339194673061139,0.8325098735589122,0.8281445653508419,0.8184259641456496,0.8037365530172165,0.7302868749745336,0.7316099808399961,0.7335930063495204,0.7317298367294306,0.72882323238,0.7255100346475303,0.7220241622052082,0.8365051837737401,0.8389808541203123,0.8436601298878332,0.8434326718718492,0.8389115297051644,0.8280447835901411,0.8127234311335008,0.7024717937027595,0.7104776161647925,0.7179261757817561,0.7221715723692507,0.7236295353173893,0.7259116501254215,0.7285822674596769,0.6959916550671361,0.6972906094729514,0.6976650025115965,0.6958348164005371,0.6933730876162255,0.6889416827426633,0.68274911573068,0.7420468962951383,0.738953215762629,0.7362285404012497,0.7325424559956817,0.7273476484078986,0.721431059563257,0.71489110989808
meiyuan_zhishu,-0.892047147062085,-0.9342945135607703,-0.7142966838344892,1.0,-0.9214944046908974,-0.9548080392343135,-0.9107531198799532,-0.9667236765569465,-0.8926992851551275,-0.9439056616473562,-0.9102991691728398,-0.9081804210479065,-0.9051587979537304,-0.8994567797748744,-0.8910869755601563,-0.8791043836325788,-0.8657143050900248,-0.8536022789556392,-0.8920996949300091,-0.8917285469988605,-0.8892739053149856,-0.8881164480355751,-0.8892633226899487,-0.8913569819218665,-0.8940596980015018,-0.9337535623029998,-0.9278503030304338,-0.9209114497520239,-0.9160829770840818,-0.9110160223470414,-0.905230608343158,-0.8989841111655693,-0.7145329801984804,-0.7140786399114382,-0.7124139914322503,-0.7064685776912327,-0.6992665637451642,-0.6912083519751498,-0.6855773132400862,0.9989379012558471,0.9891899729308912,0.9792377989854621,0.9731271693711042,0.9654854757210795,0.9559624356666586,0.9450175131886198,-0.9220206463028024,-0.9252519062049452,-0.9250901971509575,-0.9258350376869828,-0.9285858541882726,-0.9312244022578314,-0.9342557331204954,-0.9546997326897275,-0.9523038187691475,-0.9472609913470529,-0.9428865375874103,-0.9380211401089863,-0.9315747183613489,-0.9243848994914737,-0.9111796186548573,-0.9136455247858914,-0.9151112860299515,-0.9173623925101837,-0.9210175948799169,-0.9246343095792964,-0.9287303671032667,-0.9667213790146233,-0.9670798244417759,-0.9644652881264297,-0.9604065678461864,-0.9575997952298038,-0.9542108732438433,-0.9488971177115623,-0.8921126903132807,-0.8863847832748982,-0.8789181604825869,-0.8737478842627501,-0.8677703968466429,-0.8602577158878593,-0.8514161954767492,-0.9434573746237774,-0.9390680099565408,-0.9336089849393332,-0.9283441557011464,-0.9226417155032524,-0.9175479143440152,-0.9129963551004903
psjgzs,0.9794595500796219,0.8950182516279672,0.8275628240844897,-0.9214944046908974,1.0,0.934486296741046,0.9962346831897466,0.895418684990657,0.8756240305973303,0.933402625121857,0.9968473901588509,0.9969111796783222,0.9947606487182811,0.9891729745503346,0.9815391781296025,0.9742471379961885,0.9668982806745496,0.9578663840006543,0.9786846002292408,0.9715417591238277,0.9627642352688877,0.95585630420657,0.9492720802272099,0.9433911734944322,0.9378041073214686,0.8941400906131868,0.8871437593355395,0.8798348854775576,0.8740304099324564,0.8680253259842723,0.8616749016705987,0.8543803732185294,0.8273396819589703,0.8216669208458991,0.81508626908691,0.8044966152225158,0.7884129586798229,0.7716050408415017,0.75054550719664,-0.9206537948074982,-0.9120677692551102,-0.9030862678286112,-0.8913839032734087,-0.877464628204036,-0.861787500207758,-0.8461534045953422,0.9995766391056945,0.9937336434634996,0.986416285251134,0.9801120698268045,0.9739150682709076,0.9693414146986333,0.9640852855328409,0.9338507911630439,0.9286189066916092,0.9224766897496478,0.9170957651691704,0.9114502527582066,0.9063490613102716,0.9002971119246378,0.9955898470745858,0.9906420908521013,0.9843059693046374,0.980093351872771,0.9767903609103503,0.9739194228211451,0.971380979941515,0.8949986276624855,0.8894916937853939,0.882251827664117,0.8759346098542337,0.8707737069111168,0.8659129142247656,0.8605697839823374,0.8747155088863082,0.8659746797004404,0.855842583843151,0.8476757827963426,0.8399697225867655,0.8313237394255881,0.8217473387831636,0.9327533316734462,0.9272010480189589,0.920425015730233,0.9138604119588033,0.9079958762436602,0.9022922844418457,0.8954281152154825
pugang_zhishu,0.9433452731347551,0.9862477143179398,0.7300254282581536,-0.9548080392343135,0.934486296741046,1.0,0.9294282671254701,0.9404207996893126,0.9663941727589836,0.9909583041819734,0.9290668670790027,0.9265101989051645,0.9230517335716233,0.9164317620135806,0.9096903323213725,0.9024511383562589,0.8938377560443594,0.8833864800565322,0.9434871835698828,0.9423204324370117,0.9405540063661647,0.9391398582552338,0.9388210994334383,0.9393131328163851,0.9398915056271673,0.9856119537979025,0.9798077329873348,0.9730982618514954,0.9682653821294958,0.9634338577495597,0.9588487317372074,0.9541145104176314,0.7299947696037211,0.7257606375856493,0.7198952614772512,0.711165330212573,0.7012209260605267,0.691016040578663,0.6806731393001856,-0.9548461771369501,-0.9534653247079631,-0.9530245387122985,-0.9528966627878295,-0.948960371370624,-0.9434961963553338,-0.9387618229059354,0.9351115149063619,0.9364335484823669,0.9365479332372062,0.9361888619325802,0.9373623109549378,0.9398724627049714,0.9426483208595067,0.9998685151643686,0.9956786150448811,0.9893293456359881,0.9836640296747436,0.9788595323987934,0.9752197484904939,0.9716743602016564,0.9295737092833712,0.930268855790644,0.9304289905467065,0.9313429879214132,0.9338034260440784,0.937351242098945,0.9411640206550695,0.9404331297897884,0.9391980867568986,0.9376500151740659,0.9362819494302632,0.9364785344965311,0.9359075390068944,0.9342146057557399,0.9654771187784862,0.9558514725233741,0.9443964487360327,0.9360653533411715,0.9293231931594592,0.9230990577709178,0.9162322652804241,0.9905281631645266,0.9866710818766241,0.9812994048815162,0.9766780753614634,0.9732348258117628,0.9703781497670926,0.9670078129997368
tkszs,0.9820595002055578,0.8906685783453158,0.8363682018388758,-0.9107531198799532,0.9962346831897466,0.9294282671254701,1.0,0.8874543264299418,0.872042604207552,0.9299758117569606,0.9997452835466949,0.9980484907170113,0.995389403491322,0.9888277159635873,0.9822611156288686,0.9760684163015688,0.9695462794247058,0.9620293360499582,0.9819181183769526,0.9763675426674412,0.9683014991093424,0.9605579541422453,0.9528257149725852,0.9454779001577729,0.9375972485983395,0.8898663261996219,0.8825218140673375,0.8751835438434575,0.8691284946084904,0.8627513790312465,0.8565380955479337,0.8490351669257569,0.8361082350288143,0.8297967342426735,0.8220382214497777,0.8093127628641019,0.7917958418358243,0.7718334796293762,0.7501035474020199,-0.9099602046580845,-0.9012239177394781,-0.8929059557650229,-0.8831760278066364,-0.8697099441798809,-0.8541516145323399,-0.8379314248683225,0.9968478009418793,0.994889375712481,0.9897364574672205,0.9837006352599839,0.9777061044894921,0.9719570474498483,0.9652382764125875,0.9291434883236229,0.9238760006868896,0.9183598268440187,0.9133911969659934,0.9080657590097282,0.9031659119970215,0.8971090038856881,0.9997461917806139,0.9955602382272134,0.9896392192964143,0.984547508788268,0.979941055974465,0.9758286280776518,0.9711231861947744,0.8871118177667586,0.8823776666363053,0.8754693177964428,0.8686431165024443,0.8638209930815147,0.8589489998540137,0.8537161594329757,0.8713390706742085,0.8635166179137863,0.8541208740305091,0.8464694585656076,0.8384572246867311,0.8295178426121249,0.8191076808688772,0.9293833495488193,0.9242956162781845,0.9180129430797584,0.9113801981519056,0.9052066977220397,0.8989457139361188,0.8913114526360053
WTI,0.8562175281687436,0.9354451490960091,0.7012241100605278,-0.9667236765569465,0.895418684990657,0.9404207996893126,0.8874543264299418,1.0,0.9035272808589954,0.9350305363838182,0.8868762252423381,0.884283481427685,0.8807617074575532,0.8722529246558511,0.8608705188283156,0.8503168916762979,0.8401528278391305,0.8304871016754226,0.8567790281805923,0.8619023202417604,0.8684019223414139,0.8744696178997531,0.8805122467613152,0.8858632962492735,0.8907468321994412,0.9354627831572377,0.9351091495361129,0.9341943677505713,0.9333285680332148,0.9314542934319412,0.9280189334366638,0.9234794172347003,0.6998862269418681,0.6833971929289429,0.6655353918918812,0.643636750353744,0.6265507202478311,0.6184610872834727,0.6172788930352778,-0.9663673651856363,-0.9630202110706275,-0.9574733501041224,-0.9501340736795263,-0.9426407622371081,-0.9337875670842597,-0.9227832258809944,0.8960255377280794,0.9016431647723213,0.9071890382114904,0.9114824623486478,0.9154484972363712,0.9183442007287157,0.9195619556324567,0.9406622883079603,0.9419210769153259,0.9426295799436264,0.9410916202477767,0.9384711428029756,0.9348400130810232,0.9302096203992458,0.8880877505768788,0.8931201324004656,0.8986444568634913,0.902845169894823,0.906597186332875,0.9091749213026051,0.9114127937194672,0.9992493105680693,0.9929179769627886,0.984110880282347,0.9735735713837522,0.9618750577653966,0.9491243936516985,0.936536305084709,0.9035555562409826,0.9038084343077922,0.9033741825019033,0.9028527415728392,0.9003001529524721,0.8955246304178403,0.890545433353614,0.9350141550249945,0.9344917428545056,0.933335916075279,0.9315078616574289,0.9293990143178952,0.9268868769637961,0.923471167141913
CRU,0.9053596466620905,0.9841283115804568,0.6958236247258008,-0.8926992851551275,0.8756240305973303,0.9663941727589836,0.872042604207552,0.9035272808589954,1.0,0.9742709781030036,0.871376844541663,0.8682612150656214,0.8639624489881754,0.8542737076182126,0.8426912079591607,0.8293597210597936,0.8155488559136451,0.8017217192105581,0.9061854594761549,0.9113664092818663,0.9153764247864878,0.9169772771861031,0.9191573008129691,0.9215687542344069,0.9238422886012471,0.9842835425214024,0.9845418608286753,0.9838119107934549,0.9832157212429904,0.9823083007738681,0.9812380539477802,0.979857493841385,0.6955931182630365,0.6899161289335652,0.6825538909807547,0.6742814536935984,0.6666072879200347,0.657499855951684,0.6486271887911681,-0.8932813696865608,-0.8978663739826562,-0.9029749406305008,-0.9073466389597892,-0.9094912198605797,-0.9096908575779239,-0.9088410166094228,0.8764956128208915,0.8817163949366166,0.8853118580298185,0.8867824795294112,0.8885081936050016,0.8911513634717053,0.894449051399663,0.9673253033144212,0.9724941963109968,0.9759524557638329,0.9767343870508232,0.9774084743047965,0.9784297907628252,0.9792526050774877,0.8726548417049383,0.8760046189391121,0.8790107081201075,0.8804336109834551,0.8829148820099348,0.886204371009359,0.8900411973070312,0.9034883131593585,0.9027876335756608,0.9015287366564368,0.9019580450106623,0.9042137609617096,0.9061165112223134,0.9070943098129145,0.9999280100563283,0.9956857819514546,0.9891012125517825,0.9833901409784322,0.9782736570008324,0.973867000726193,0.9692895513617363,0.9743846722515741,0.975012063429438,0.9750534659203212,0.9750567729505574,0.9758412909275009,0.9772162938663408,0.9783094570780829
fgzs,0.9489810735988903,0.9914553442421359,0.7424030421658298,-0.9439056616473562,0.933402625121857,0.9909583041819734,0.9299758117569606,0.9350305363838182,0.9742709781030036,1.0,0.9292474621884164,0.9263808720523714,0.9228793762605964,0.9148437620169088,0.9043153684072197,0.8929832676327366,0.8834156148897095,0.8746477951681095,0.949583487696714,0.9534665699303504,0.9564967668665367,0.9561930443728363,0.9555947740759638,0.9555302563143352,0.955741102146716,0.991319845060477,0.9893503407009553,0.9865165962100851,0.9834621016372547,0.9799496010178951,0.9762488144793174,0.9719160013069011,0.7426597476468036,0.740994170781133,0.7378301212479411,0.7322460819266421,0.7267212665944202,0.7208109195578076,0.713307368894633,-0.9443022187491715,-0.9471453260422743,-0.948988263044662,-0.949046695405603,-0.9486435946208226,-0.9472584758884822,-0.9441539600538209,0.9341975818232581,0.9397278564268932,0.9438232852936325,0.9453316579603399,0.9468909221651312,0.9489678172775915,0.9515976463396858,0.9915443307824265,0.9945143424584029,0.9959515298980767,0.9937048580871904,0.9910671231437879,0.9888483761554381,0.9865245545022447,0.9306341212059658,0.9353614191763348,0.939910878210714,0.9418346888647134,0.9441468632460742,0.9471178156409396,0.9503198712291588,0.9351052910980989,0.9354584784909915,0.9352039285387556,0.9350175121907707,0.9352350256845735,0.9360314787104297,0.9368193663617396,0.974115353118636,0.9715193187192361,0.966454630235188,0.9610941723334196,0.9556713581513668,0.9501611412513106,0.9437505796577428,0.9999538531064788,0.9985454401271434,0.9956404692358337,0.9922448362159011,0.9891036598510349,0.9863476616780115,0.9835837746333789
