"date","tkszs"
"2005/6/10","86.7"
"2005/6/11",""
"2005/6/12",""
"2005/6/13",""
"2005/6/14",""
"2005/6/15",""
"2005/6/16",""
"2005/6/17","84"
"2005/6/18",""
"2005/6/19",""
"2005/6/20",""
"2005/6/21",""
"2005/6/22",""
"2005/6/23",""
"2005/6/24","82"
"2005/6/25",""
"2005/6/26",""
"2005/6/27",""
"2005/6/28",""
"2005/6/29",""
"2005/6/30",""
"2005/7/1","77.6"
"2005/7/2",""
"2005/7/3",""
"2005/7/4",""
"2005/7/5",""
"2005/7/6",""
"2005/7/7",""
"2005/7/8","76.6"
"2005/7/9",""
"2005/7/10",""
"2005/7/11",""
"2005/7/12",""
"2005/7/13",""
"2005/7/14",""
"2005/7/15","77.4"
"2005/7/16",""
"2005/7/17",""
"2005/7/18",""
"2005/7/19",""
"2005/7/20",""
"2005/7/21",""
"2005/7/22","79.8"
"2005/7/23",""
"2005/7/24",""
"2005/7/25",""
"2005/7/26",""
"2005/7/27",""
"2005/7/28",""
"2005/7/29","84.5"
"2005/7/30",""
"2005/7/31",""
"2005/8/1",""
"2005/8/2",""
"2005/8/3",""
"2005/8/4",""
"2005/8/5","89.7"
"2005/8/6",""
"2005/8/7",""
"2005/8/8",""
"2005/8/9",""
"2005/8/10",""
"2005/8/11",""
"2005/8/12","90"
"2005/8/13",""
"2005/8/14",""
"2005/8/15",""
"2005/8/16",""
"2005/8/17",""
"2005/8/18",""
"2005/8/19","89.6"
"2005/8/20",""
"2005/8/21",""
"2005/8/22",""
"2005/8/23",""
"2005/8/24",""
"2005/8/25",""
"2005/8/26","101.8"
"2005/8/27",""
"2005/8/28",""
"2005/8/29",""
"2005/8/30",""
"2005/8/31",""
"2005/9/1",""
"2005/9/2","100.3"
"2005/9/3",""
"2005/9/4",""
"2005/9/5",""
"2005/9/6",""
"2005/9/7",""
"2005/9/8",""
"2005/9/9","90.8"
"2005/9/10",""
"2005/9/11",""
"2005/9/12",""
"2005/9/13",""
"2005/9/14",""
"2005/9/15",""
"2005/9/16","89.8"
"2005/9/17",""
"2005/9/18",""
"2005/9/19",""
"2005/9/20",""
"2005/9/21",""
"2005/9/22",""
"2005/9/23","88.3"
"2005/9/24",""
"2005/9/25",""
"2005/9/26",""
"2005/9/27",""
"2005/9/28",""
"2005/9/29",""
"2005/9/30","88.2"
"2005/10/1",""
"2005/10/2",""
"2005/10/3",""
"2005/10/4",""
"2005/10/5",""
"2005/10/6",""
"2005/10/7","88.2"
"2005/10/8",""
"2005/10/9",""
"2005/10/10",""
"2005/10/11",""
"2005/10/12",""
"2005/10/13",""
"2005/10/14","87.8"
"2005/10/15",""
"2005/10/16",""
"2005/10/17",""
"2005/10/18",""
