tkszs_date,tkszs_zh,tkszs_jkk,tkszs_gck,tkszs_qdg
2013/3/14,148.1,138.5,155,138.5
2013/3/15,143.97,133.2,153.5,133.1
2013/3/18,143.97,133.2,153.5,133.1
2013/3/19,142.65,131.6,152.9,130.4
2013/3/20,141.33,130.9,150.4,129.7
2013/3/21,140.91,130.5,150,129.7
2013/3/22,140.91,130.5,150,129.7
2013/3/25,141.11,130.9,149.9,130.4
2013/3/26,141.11,130.9,149.9,130.4
2013/3/27,141.97,132.1,149.9,131.8
2013/3/28,142.47,132.9,149.9,133.1
2013/3/29,142.22,132.5,149.9,132.4
2013/4/1,141.5,131.6,149.5,131.8
2013/4/2,140.79,130.7,149.2,131.1
2013/4/3,140.83,130.7,149.3,131.1
2013/4/7,140.94,131,149.2,131.8
2013/4/8,140.96,131,149.2,131.8
2013/4/9,141.83,132.2,149.3,133.1
2013/4/10,142.75,133.6,149.3,134.5
2013/4/11,143.55,134.8,149.1,135.8
2013/4/12,143.98,135,150,135.8
2013/4/15,143.98,135,150,135.8
2013/4/16,143.98,135,150,135.8
2013/4/17,143.06,133.7,150,134.5
2013/4/18,142.91,133.7,149.6,134.5
2013/4/19,142.91,133.7,149.6,134.5
2013/4/22,142.08,132.7,149,133.1
2013/4/23,141.98,132.5,149.2,132.4
2013/4/24,141.6,131.9,149.2,131.8
2013/4/25,141.31,131.5,149.2,131.8
2013/4/26,140.92,130.9,149.2,131.1
2013/4/27,140.13,130.2,148.4,130.4
2013/4/28,139.92,130.2,147.8,130.4
2013/5/2,139.21,129.9,146.2,129.7
2013/5/3,138.14,128.8,145.3,129.1
2013/5/6,137.64,128.1,145.3,127.7
2013/5/7,137.59,128.1,145.2,127.7
2013/5/8,137.68,128.2,145.2,129.1
2013/5/9,137.68,128.2,145.2,129.1
2013/5/10,137.5,128.2,144.6,129.1
2013/5/13,137.22,128,144.2,129.1
2013/5/14,136.36,127,143.8,127.7
2013/5/15,135.9,126.3,143.8,127
2013/5/16,135.69,126,143.8,127
2013/5/17,134.51,124.7,142.9,126.4
2013/5/20,133.85,124.2,142,126.4
2013/5/21,133.21,123.4,141.7,125.7
2013/5/22,133.11,123.4,141.4,125.7
2013/5/23,132.74,122.9,141.4,125
2013/5/24,132.69,122.9,141.3,125
2013/5/27,132.2,122.5,140.7,125
2013/5/28,131.01,121.1,139.9,123.6
2013/5/29,129.45,119.4,138.9,121.6
2013/5/30,128.09,117.6,138.4,120.3
2013/5/31,124.66,113.8,136,116.2
2013/6/3,123.76,113.2,134.6,116.2
2013/6/4,124.29,114.5,133.5,117.6
2013/6/5,125.65,116.3,133.9,119.6
2013/6/6,125.93,116.7,133.9,119.6
2013/6/7,125.14,115.6,133.9,118.2
2013/6/8,124.21,114.2,133.9,116.9
2013/6/9,123.5,113.2,133.9,115.5
2013/6/13,123.5,113.2,133.9,115.5
2013/6/14,124.21,114.2,133.9,116.9
2013/6/17,124.74,115,133.9,118.2
2013/6/18,125.91,116.4,134.4,118.9
2013/6/19,126.8,117.7,134.4,119.6
2013/6/20,127.78,119,134.7,120.3
2013/6/21,127.93,119,135.1,120.3
2013/6/24,127.45,118.1,135.6,118.9
2013/6/25,126.58,117.2,134.9,117.6
2013/6/26,125.36,115.8,134,116.2
2013/6/27,124.98,115.3,134,115.5
2013/6/28,125.52,116.1,134,116.2
2013/7/1,126.69,117.8,134,117.6
2013/7/2,127.24,118.6,134,118.9
2013/7/3,127.69,118.7,135.1,118.9
2013/7/4,128.84,119.9,135.9,120.3
2013/7/5,129.34,120.3,136.8,120.3
2013/7/8,129.39,120.3,136.9,120.3
2013/7/9,129.54,120.3,137.4,120.3
2013/7/10,129.54,120.3,137.4,120.3
2013/7/11,129.54,120.3,137.4,120.3
2013/7/12,130.46,121.6,137.4,121.6
2013/7/15,131.36,122.5,138.2,122.3
2013/7/16,132.28,123.5,138.9,123
2013/7/17,132.28,123.5,138.9,123
2013/7/18,132.89,124.1,139.4,123.6
2013/7/19,133.54,124.9,139.8,125
2013/7/22,133.44,124.7,139.9,125
2013/7/23,133.5,124.7,140.1,125
2013/7/24,133.62,124.7,140.5,125
2013/7/25,134.37,125.8,140.5,127
2013/7/26,134.54,126,140.5,127
2013/7/29,134.47,125.9,140.5,127
2013/7/30,134.31,125.6,140.5,127
2013/7/31,133.91,125.6,139.4,127
2013/8/1,133.41,124.9,139.4,125.7
2013/8/2,133.2,124.6,139.4,125.7
2013/8/5,133.2,124.6,139.4,125.7
2013/8/6,133.59,125.2,139.4,126.4
2013/8/7,134.05,125.8,139.4,127
2013/8/8,134.96,127.1,139.5,128.4
2013/8/9,135.88,127.5,141.4,128.4
2013/8/12,136.28,128.1,141.4,129.1
2013/8/13,138.09,129.4,144,130.4
2013/8/14,140.18,132.4,144.2,133.1
2013/8/15,140.96,133.3,144.5,134.5
2013/8/16,140.56,132.8,144.5,133.8
2013/8/19,139.82,131.6,144.6,132.4
2013/8/20,139.82,131.6,144.6,132.4
2013/8/21,139.82,131.6,144.6,132.4
2013/8/22,139.14,130.6,144.6,131.8
2013/8/23,138.93,130.3,144.8,131.1
2013/8/26,138.63,130.3,143.9,131.1
2013/8/27,138.88,130.6,143.9,131.8
2013/8/28,138.88,130.6,143.9,131.8
2013/8/29,139.14,131,143.9,132.4
2013/8/30,139.14,131,143.9,132.4
2013/9/2,138.97,130.7,143.9,131.8
2013/9/3,139.8,132,143.9,133.1
2013/9/4,139.8,132,143.9,133.1
2013/9/5,139.8,132,143.9,133.1
2013/9/6,139.2,131.1,143.9,132.4
2013/9/9,139.2,131.1,143.9,132.4
2013/9/10,139.2,131.1,143.9,132.4
2013/9/11,139.2,131.1,143.9,132.4
2013/9/12,139.2,131.1,143.9,132.4
2013/9/13,138.95,130.7,143.9,131.8
2013/9/16,138.07,130.3,142.2,131.8
2013/9/17,137.82,130,142.1,131.1
2013/9/18,137.13,129.3,141.5,130.4
2013/9/22,137.32,129.3,142,130.4
2013/9/23,137.32,129.3,142,130.4
2013/9/24,137.32,129.3,142,130.4
2013/9/25,137.32,129.3,142,130.4
2013/9/26,137.07,128.9,142,129.7
